pair0,pair1,idx
299,320,1518
371,279,1519
701,525,1520
532,259,1521
122,434,1522
696,279,1523
339,270,1524
414,326,1525
849,683,1526
282,106,1527
84,901,1528
429,288,1529
302,602,1530
1365,589,1531
1516,1319,1532
318,266,1533
397,832,1534
865,313,1535
261,122,1536
280,98,1537
114,547,1538
257,326,1539
1522,394,1540
1082,879,1541
104,425,1542
97,695,1543
121,324,1544
300,270,1545
97,625,1546
558,379,1547
1126,282,1548
655,617,1549
102,271,1550
942,538,1551
291,356,1552
264,269,1553
564,259,1554
296,855,1555
330,116,1556
478,112,1557
68,609,1558
111,107,1559
118,278,1560
103,378,1561
290,440,1562
1084,99,1563
117,313,1564
118,515,1565
114,309,1566
110,375,1567
1409,507,1568
419,279,1569
403,324,1570
112,280,1571
105,299,1572
1526,105,1573
109,111,1574
391,287,1575
262,259,1576
292,357,1577
415,591,1578
348,257,1579
821,257,1580
264,333,1581
645,430,1582
598,256,1583
101,599,1584
638,259,1585
98,111,1586
117,122,1587
108,275,1588
342,952,1589
257,357,1590
283,76,1591
1032,273,1592
541,363,1593
118,294,1594
98,480,1595
392,115,1596
306,338,1597
262,110,1598
1007,271,1599
442,335,1600
257,367,1601
428,695,1602
403,121,1603
508,314,1604
342,573,1605
403,106,1606
112,434,1607
325,296,1608
420,346,1609
343,100,1610
99,280,1611
637,257,1612
293,273,1613
116,373,1614
259,298,1615
109,373,1616
104,358,1617
104,302,1618
328,261,1619
359,471,1620
1111,287,1621
807,422,1622
337,1033,1623
275,105,1624
465,311,1625
655,313,1626
102,294,1627
1042,257,1628
1426,379,1629
533,116,1630
461,404,1631
122,274,1632
259,326,1633
408,257,1634
283,77,1635
101,281,1636
476,596,1637
301,116,1638
850,368,1639
926,699,1640
111,1637,1641
286,277,1642
447,334,1643
100,405,1644
303,503,1645
299,285,1646
304,289,1647
1012,112,1648
112,829,1649
327,432,1650
269,677,1651
416,517,1652
465,338,1653
416,272,1654
710,292,1655
1166,627,1656
527,114,1657
259,367,1658
548,409,1659
275,353,1660
1000,1436,1661
72,256,1662
116,375,1663
318,823,1664
835,1240,1665
286,378,1666
290,99,1667
103,261,1668
359,599,1669
315,320,1670
412,277,1671
99,527,1672
429,319,1673
284,291,1674
717,524,1675
1282,406,1676
325,1454,1677
85,285,1678
1678,426,1679
455,275,1680
798,272,1681
874,256,1682
263,351,1683
108,261,1684
364,778,1685
108,280,1686
274,122,1687
867,524,1688
1085,259,1689
1575,99,1690
328,303,1691
398,262,1692
104,263,1693
965,274,1694
442,347,1695
1517,324,1696
721,336,1697
257,451,1698
97,281,1699
959,116,1700
330,527,1701
101,118,1702
296,277,1703
449,317,1704
301,643,1705
473,756,1706
455,348,1707
261,102,1708
421,264,1709
417,101,1710
403,320,1711
530,486,1712
258,67,1713
437,83,1714
1150,109,1715
302,271,1716
116,301,1717
292,575,1718
297,272,1719
372,83,1720
108,398,1721
379,422,1722
271,114,1723
114,278,1724
312,289,1725
926,896,1726
264,337,1727
670,1636,1728
783,105,1729
100,276,1730
111,102,1731
1039,271,1732
889,279,1733
114,389,1734
103,345,1735
343,363,1736
596,894,1737
269,77,1738
452,257,1739
655,415,1740
115,1136,1741
315,496,1742
283,677,1743
342,106,1744
1744,324,1745
1288,664,1746
1042,496,1747
1420,274,1748
1567,1036,1749
379,921,1750
459,1632,1751
985,1058,1752
415,307,1753
803,301,1754
402,297,1755
80,350,1756
277,419,1757
530,439,1758
447,1044,1759
559,466,1760
483,743,1761
994,1180,1762
1684,332,1763
713,366,1764
516,905,1765
315,1144,1766
337,906,1767
338,696,1768
570,114,1769
311,993,1770
102,344,1771
279,288,1772
97,105,1773
114,627,1774
301,765,1775
284,258,1776
108,405,1777
101,102,1778
501,311,1779
265,409,1780
333,799,1781
584,256,1782
100,547,1783
1694,952,1784
493,390,1785
351,532,1786
1284,317,1787
359,424,1788
289,400,1789
509,258,1790
303,519,1791
1061,381,1792
256,281,1793
1262,502,1794
299,715,1795
256,298,1796
516,256,1797
412,289,1798
465,279,1799
294,101,1800
730,272,1801
112,381,1802
101,299,1803
307,287,1804
116,292,1805
274,416,1806
265,407,1807
632,259,1808
279,326,1809
105,290,1810
330,101,1811
591,270,1812
386,100,1813
871,432,1814
691,1511,1815
316,110,1816
1034,528,1817
930,1747,1818
278,433,1819
1074,875,1820
353,356,1821
1708,275,1822
633,259,1823
1486,556,1824
306,370,1825
318,105,1826
115,330,1827
348,357,1828
636,439,1829
312,261,1830
262,277,1831
306,364,1832
116,336,1833
104,480,1834
118,349,1835
102,378,1836
541,277,1837
99,97,1838
286,358,1839
1225,270,1840
664,601,1841
927,318,1842
337,567,1843
1074,514,1844
885,431,1845
261,436,1846
430,83,1847
289,972,1848
456,105,1849
327,735,1850
769,257,1851
263,291,1852
337,1235,1853
476,267,1854
327,806,1855
348,298,1856
1000,112,1857
101,339,1858
316,114,1859
269,76,1860
441,326,1861
1143,271,1862
473,363,1863
417,1755,1864
313,32,1865
279,346,1866
106,570,1867
438,403,1868
315,1696,1869
261,103,1870
965,381,1871
98,264,1872
811,321,1873
1794,1016,1874
337,476,1875
386,866,1876
112,426,1877
597,1347,1878
647,259,1879
1730,809,1880
117,260,1881
318,1562,1882
642,322,1883
611,407,1884
660,257,1885
111,421,1886
71,1734,1887
521,446,1888
1222,680,1889
439,404,1890
341,1536,1891
68,256,1892
431,301,1893
393,759,1894
504,114,1895
665,117,1896
415,327,1897
258,737,1898
1221,756,1899
269,780,1900
1039,314,1901
542,1138,1902
282,706,1903
104,303,1904
258,707,1905
259,457,1906
361,262,1907
553,299,1908
837,116,1909
302,303,1910
299,103,1911
494,370,1912
1845,375,1913
68,105,1914
364,370,1915
1769,643,1916
1427,1818,1917
1191,261,1918
283,67,1919
493,329,1920
374,259,1921
418,257,1922
263,369,1923
256,311,1924
477,401,1925
100,292,1926
515,262,1927
265,310,1928
46,1209,1929
98,290,1930
372,356,1931
281,740,1932
1904,379,1933
286,317,1934
98,376,1935
748,108,1936
397,299,1937
1217,366,1938
1611,775,1939
285,731,1940
1083,257,1941
115,407,1942
590,306,1943
65,1916,1944
700,1650,1945
118,289,1946
545,313,1947
865,1804,1948
546,264,1949
351,540,1950
263,257,1951
449,1119,1952
279,536,1953
80,1047,1954
492,103,1955
1383,315,1956
294,277,1957
966,433,1958
364,311,1959
296,453,1960
109,345,1961
99,611,1962
110,117,1963
259,311,1964
448,313,1965
467,1604,1966
114,847,1967
565,440,1968
375,379,1969
1665,257,1970
332,572,1971
439,373,1972
315,1442,1973
1332,289,1974
937,1450,1975
258,623,1976
99,565,1977
109,407,1978
305,322,1979
283,827,1980
1110,336,1981
330,290,1982
1318,567,1983
1811,112,1984
760,315,1985
744,1008,1986
1358,601,1987
309,257,1988
834,335,1989
694,306,1990
283,780,1991
456,580,1992
278,1969,1993
403,103,1994
259,110,1995
106,294,1996
1185,306,1997
112,529,1998
280,650,1999
259,373,2000
102,323,2001
783,1024,2002
97,756,2003
472,346,2004
291,395,2005
297,440,2006
460,101,2007
1586,268,2008
305,465,2009
269,827,2010
264,489,2011
1800,421,2012
882,257,2013
657,277,2014
325,101,2015
265,561,2016
263,290,2017
115,310,2018
278,309,2019
761,510,2020
327,103,2021
574,453,2022
382,256,2023
101,391,2024
336,395,2025
97,315,2026
257,457,2027
279,339,2028
116,774,2029
1007,314,2030
608,256,2031
380,270,2032
1505,794,2033
421,389,2034
384,298,2035
343,325,2036
598,453,2037
348,364,2038
518,346,2039
306,400,2040
1134,355,2041
379,299,2042
754,285,2043
533,1700,2044
563,275,2045
262,292,2046
278,272,2047
1021,591,2048
262,358,2049
598,261,2050
851,583,2051
665,263,2052
276,258,2053
564,292,2054
275,414,2055
701,879,2056
333,864,2057
297,368,2058
112,310,2059
576,324,2060
277,575,2061
1198,116,2062
108,1587,2063
78,922,2064
115,703,2065
1182,380,2066
1396,1059,2067
1199,300,2068
110,511,2069
420,594,2070
1186,292,2071
343,105,2072
305,367,2073
1105,1354,2074
273,114,2075
768,510,2076
79,1996,2077
2077,335,2078
98,583,2079
1221,338,2080
475,864,2081
533,100,2082
1701,1938,2083
1389,115,2084
342,1321,2085
723,259,2086
111,725,2087
269,67,2088
430,356,2089
970,331,2090
108,302,2091
299,959,2092
726,257,2093
470,332,2094
269,737,2095
392,471,2096
943,586,2097
475,799,2098
686,512,2099
277,289,2100
393,109,2101
270,383,2102
259,357,2103
316,326,2104
257,446,2105
276,109,2106
392,599,2107
353,395,2108
282,120,2109
1652,507,2110
557,270,2111
542,112,2112
348,289,2113
279,446,2114
281,1541,2115
1202,377,2116
455,513,2117
263,347,2118
386,466,2119
652,1448,2120
327,296,2121
1181,305,2122
287,688,2123
