pair0,pair1,idx
1697,392,2147
513,847,2148
100,445,2149
262,559,2150
84,1218,2151
306,273,2152
828,1107,2153
258,356,2154
103,560,2155
1341,297,2156
260,850,2157
681,409,2158
387,285,2159
1417,917,2160
419,713,2161
2004,516,2162
815,32,2163
105,586,2164
828,381,2165
353,1430,2166
541,869,2167
576,1274,2168
98,292,2169
807,101,2170
745,115,2171
453,1031,2172
107,110,2173
1150,1008,2174
99,376,2175
798,388,2176
117,100,2177
263,328,2178
390,397,2179
318,1113,2180
1193,121,2181
839,676,2182
371,384,2183
610,438,2184
396,116,2185
322,464,2186
704,100,2187
336,692,2188
350,320,2189
1254,280,2190
484,576,2191
467,385,2192
780,102,2193
101,596,2194
1701,629,2195
504,614,2196
98,459,2197
118,370,2198
98,522,2199
653,313,2200
568,1472,2201
1869,97,2202
1035,982,2203
944,121,2204
1426,1086,2205
369,812,2206
664,297,2207
997,505,2208
529,455,2209
398,1536,2210
330,394,2211
458,256,2212
364,111,2213
1686,436,2214
528,335,2215
262,115,2216
260,439,2217
264,1252,2218
519,259,2219
1075,402,2220
371,1554,2221
753,280,2222
101,1251,2223
321,275,2224
357,284,2225
372,286,2226
539,107,2227
115,383,2228
369,116,2229
291,994,2230
277,639,2231
482,514,2232
1125,348,2233
106,1500,2234
2093,327,2235
526,559,2236
1822,377,2237
115,381,2238
115,302,2239
100,115,2240
714,642,2241
454,596,2242
1451,1224,2243
1400,635,2244
1064,840,2245
1111,263,2246
1117,32,2247
102,108,2248
258,1004,2249
119,400,2250
433,498,2251
110,121,2252
332,1398,2253
275,263,2254
1331,701,2255
1203,283,2256
1082,292,2257
481,112,2258
1358,1165,2259
281,363,2260
464,121,2261
999,99,2262
264,316,2263
371,496,2264
375,423,2265
478,394,2266
109,338,2267
416,406,2268
114,465,2269
110,904,2270
101,355,2271
283,274,2272
1677,485,2273
1510,569,2274
2112,34,2275
98,618,2276
399,479,2277
97,376,2278
836,451,2279
101,335,2280
311,285,2281
720,1526,2282
341,379,2283
539,1598,2284
1402,459,2285
984,282,2286
329,318,2287
317,608,2288
115,893,2289
328,100,2290
398,277,2291
398,394,2292
671,290,2293
39,284,2294
1884,386,2295
381,591,2296
264,1844,2297
1294,2278,2298
109,1673,2299
288,78,2300
321,335,2301
836,111,2302
281,474,2303
484,785,2304
97,1338,2305
533,947,2306
382,280,2307
317,879,2308
44,1759,2309
362,1413,2310
369,296,2311
279,107,2312
1733,466,2313
533,118,2314
1734,107,2315
1384,532,2316
315,644,2317
1182,292,2318
864,449,2319
1096,299,2320
